SiteID,DateTime,Year,Latitude,Longitude,Gear,Temp_c
ASH12099,8/7/2018 10:25,2018,46.74588013,-92.06887817,16' Bottom Trawl (4.9 m),19.29999924
ASH12100,8/7/2018 11:05,2018,46.7420311,-92.06887817,16' Bottom Trawl (4.9 m),19.29999924
ASH12101,8/7/2018 11:35,2018,46.73712158,-92.08001709,16' Bottom Trawl (4.9 m),20.20000076
ASH12102,8/7/2018 12:08,2018,46.74195099,-92.08048248,16' Bottom Trawl (4.9 m),19.79999924
ASH12103,8/7/2018 12:54,2018,46.74497986,-92.09220123,16' Bottom Trawl (4.9 m),20.29999924
ASH12104,8/7/2018 13:24,2018,46.74988174,-92.09131622,16' Bottom Trawl (4.9 m),20
ASH12105,8/7/2018 14:02,2018,46.76597977,-92.09908295,16' Bottom Trawl (4.9 m),19.60000038
ASH12106,8/8/2018 8:27,2018,46.7566185,-92.08914948,16' Bottom Trawl (4.9 m),19.79999924
ASH12107,8/8/2018 9:02,2018,46.75392914,-92.11502838,16' Bottom Trawl (4.9 m),20.70000076
ASH12108,8/8/2018 9:25,2018,46.74592972,-92.12197113,16' Bottom Trawl (4.9 m),20.70000076
ASH12109,8/8/2018 10:03,2018,46.73054886,-92.13230133,16' Bottom Trawl (4.9 m),21.20000076
ASH12110,8/8/2018 10:46,2018,46.71910095,-92.14382172,16' Bottom Trawl (4.9 m),22.10000038
ASH12111,8/8/2018 11:39,2018,46.71873093,-92.16124725,16' Bottom Trawl (4.9 m),22.89999962
ASH12112,8/8/2018 12:26,2018,46.71057892,-92.15326691,16' Bottom Trawl (4.9 m),22.89999962
ASH12113,8/8/2018 12:45,2018,46.71060181,-92.15856934,16' Bottom Trawl (4.9 m),22.89999962
ASH12114,8/8/2018 13:07,2018,46.71234894,-92.18441772,16' Bottom Trawl (4.9 m),23.29999924
ASH12115,8/8/2018 13:35,2018,46.76197052,-92.08672333,16' Bottom Trawl (4.9 m),21.10000038
ASH12116,8/8/2018 13:54,2018,46.75392151,-92.09127045,16' Bottom Trawl (4.9 m),20.79999924
ASH12117,8/9/2018 8:57,2018,46.70280075,-92.15982819,16' Bottom Trawl (4.9 m),22.79999924
ASH12118,8/9/2018 9:51,2018,46.69881821,-92.16934967,16' Bottom Trawl (4.9 m),24.70000076
ASH12119,8/9/2018 10:18,2018,46.69644928,-92.18450165,16' Bottom Trawl (4.9 m),25.39999962
ASH12120,8/9/2018 10:47,2018,46.70285034,-92.19812775,16' Bottom Trawl (4.9 m),25.39999962
ASH12121,8/9/2018 11:33,2018,46.68682861,-92.1798172,16' Bottom Trawl (4.9 m),21.29999924
ASH12122,8/9/2018 12:28,2018,46.64564896,-92.25157928,16' Bottom Trawl (4.9 m),25.10000038
ASH12123,8/9/2018 12:49,2018,46.6487999,-92.23931885,16' Bottom Trawl (4.9 m),25.79999924
ASH12124,8/9/2018 13:24,2018,46.65274811,-92.22374725,16' Bottom Trawl (4.9 m),25.5
ASH12125,8/9/2018 13:46,2018,46.66790009,-92.20379639,16' Bottom Trawl (4.9 m),25.79999924
ASH12126,8/9/2018 14:04,2018,46.66790009,-92.20552063,16' Bottom Trawl (4.9 m),26.39999962
ASH12127,10/8/2018 9:28,2018,46.65169907,-92.22187042,16' Bottom Trawl (4.9 m),8.699999809
ASH12128,10/8/2018 9:58,2018,46.66537094,-92.20645142,16' Bottom Trawl (4.9 m),8.800000191
ASH12129,10/8/2018 10:20,2018,46.66788101,-92.20572662,16' Bottom Trawl (4.9 m),8.899999619
ASH12130,10/8/2018 11:32,2018,46.6867981,-92.18253326,16' Bottom Trawl (4.9 m),9.100000381
ASH12131,10/8/2018 11:55,2018,46.69081879,-92.19127655,16' Bottom Trawl (4.9 m),9.100000381
