"SampDate","SpName","TagNo","TL_mm","WT_g","Sex_MFU"
1998-09-21,"Atlantic Salmon","A904","540","1400","U"
1998-09-21,"Atlantic Salmon","A905","545","1800","U"
1998-09-21,"Atlantic Salmon","A906","592","2100","U"
1998-09-23,"Atlantic Salmon","A911","590","2150","U"
1998-09-25,"Atlantic Salmon","A915","528","1450","U"
1998-09-28,"Atlantic Salmon","A916","560","1900","U"
1998-10-01,"Atlantic Salmon","A917","558","1600","U"
1998-10-01,"Atlantic Salmon","A918","555","1800","U"
1998-10-01,"Atlantic Salmon","A919","525","1300","U"
1998-10-01,"Atlantic Salmon","A920","620","2300","U"
1998-10-01,"Atlantic Salmon","A921","558","2100","U"
1998-09-25,"Atlantic Salmon","A914","521","1200","U"
1998-10-01,"Atlantic Salmon","A922","519","1200","U"
1998-10-01,"Atlantic Salmon","A924","554","1900","U"
1998-10-01,"Atlantic Salmon","A928","542","1400","U"
1998-10-01,"Atlantic Salmon","A929","560","1800","U"
1998-10-01,"Atlantic Salmon","A930","486","1200","U"
1998-10-05,"Atlantic Salmon","A932","605","2200","U"
1998-10-05,"Atlantic Salmon","A933","585","1900","U"
1998-10-05,"Atlantic Salmon","A934","553","1750","U"
1998-10-07,"Atlantic Salmon","A935","562","1650","U"
1998-10-07,"Atlantic Salmon","A936","585","1900","U"
1998-10-07,"Atlantic Salmon","A937","537","1900","U"
1998-10-07,"Atlantic Salmon","A938","525","1550","U"
1998-10-07,"Atlantic Salmon","A939","540","1500","U"
1998-10-07,"Atlantic Salmon","A940","558","1750","U"
1998-10-07,"Atlantic Salmon","A941","572","1800","U"
1998-10-09,"Atlantic Salmon","A942","512","1450","U"
1998-10-09,"Atlantic Salmon","A943","580","2100","U"
1998-10-09,"Atlantic Salmon","A944","582","1950","U"
1998-10-09,"Atlantic Salmon","A945","610","2600","U"
1998-10-09,"Atlantic Salmon","A946","525","1600","U"
1998-10-09,"Atlantic Salmon","A947","573","2300","U"
1998-10-09,"Atlantic Salmon","A948","603","2100","U"
1998-10-12,"Atlantic Salmon","A949","555","1700","U"
1998-10-12,"Atlantic Salmon","A950","555","1750","U"
1998-10-12,"Atlantic Salmon","D3001","596","2100","U"
1998-10-12,"Atlantic Salmon","D3002","579","1950","U"
1998-10-12,"Atlantic Salmon","D3004","573","1900","U"
1998-10-12,"Atlantic Salmon","D3005","590","2050","U"
1998-10-12,"Atlantic Salmon","D3006","567","1850","U"
1998-10-12,"Atlantic Salmon","D3007","611","2300","U"
1998-10-12,"Atlantic Salmon","D3008","551","1700","U"
1998-10-12,"Atlantic Salmon","D3009","540","1500","U"
1998-10-14,"Atlantic Salmon","D3010","570","2100","U"
1998-10-14,"Atlantic Salmon","D3012","586","2000","U"
1998-10-14,"Atlantic Salmon","D3014","540","1650","U"
1998-10-14,"Atlantic Salmon","D3015","551","1600","U"
1998-10-14,"Atlantic Salmon","D3016","577","1800","U"
1998-10-14,"Atlantic Salmon","D3017","561","1700","U"
1998-10-14,"Atlantic Salmon","D3019","591","2000","U"
1998-10-14,"Atlantic Salmon","D3020","555","1800","U"
1998-10-16,"Atlantic Salmon","D3021","530","1400","U"
1998-10-16,"Atlantic Salmon","D3022","543","1850","U"
1998-10-16,"Atlantic Salmon","D3023","572","1850","U"
1998-10-16,"Atlantic Salmon","D3024","544","1600","U"
1998-10-16,"Atlantic Salmon","D3025","473","1050","U"
1998-10-19,"Atlantic Salmon","D3026","494","1200","U"
1998-10-19,"Atlantic Salmon","D3027","599","2200","U"
1998-10-19,"Atlantic Salmon","D3028","565","1850","U"
1998-10-21,"Atlantic Salmon","D3046","560","1450","U"
1998-10-26,"Atlantic Salmon","D3047","551","1800","U"
1998-09-21,"Atlantic Salmon","A903","650","4100","U"
1998-09-21,"Atlantic Salmon","A907","572","2250","U"
1998-09-21,"Atlantic Salmon","A908","647","3500","U"
1998-09-21,"Atlantic Salmon","A909","627","3400","U"
1998-09-23,"Atlantic Salmon","A910","658","2700","U"
1998-09-25,"Atlantic Salmon","A912","655","2800","U"
1998-09-25,"Atlantic Salmon","A913","631","3000","U"
1998-10-01,"Atlantic Salmon","A923","601","3000","U"
1998-10-01,"Atlantic Salmon","A925","568","1900","U"
1998-10-01,"Atlantic Salmon","A926","585","2500","U"
1998-10-01,"Atlantic Salmon","A927","598","2400","U"
1998-10-01,"Atlantic Salmon","A931","643","2500","U"
1998-10-12,"Atlantic Salmon","","686","4000","U"
1998-10-21,"Atlantic Salmon","D3029","610",NA,"U"
1998-10-21,"Atlantic Salmon","D3030","558",NA,"U"
1998-10-21,"Atlantic Salmon","D3031","730",NA,"U"
1998-10-21,"Atlantic Salmon","D3032","691",NA,"U"
1998-10-21,"Atlantic Salmon","D3033","570",NA,"U"
1998-10-21,"Atlantic Salmon","D3034","590",NA,"U"
1998-10-21,"Atlantic Salmon","D3035","574",NA,"U"
1998-10-21,"Atlantic Salmon","D3036","644",NA,"U"
1998-10-21,"Atlantic Salmon","D3037","541",NA,"U"
1998-10-21,"Atlantic Salmon","D3038","543",NA,"U"
1998-10-21,"Atlantic Salmon","D3039","496",NA,"U"
1998-10-21,"Atlantic Salmon","D3040","532",NA,"U"
1998-10-21,"Atlantic Salmon","D3041","605",NA,"U"
1998-10-21,"Atlantic Salmon","D3042","545",NA,"U"
1998-10-21,"Atlantic Salmon","D3043","592",NA,"U"
1998-10-21,"Atlantic Salmon","D3044","516",NA,"U"
1998-10-21,"Atlantic Salmon","D3045","595",NA,"U"
1998-10-14,"Atlantic Salmon","D3013","680","4100","U"
1998-10-14,"Atlantic Salmon","D3018","625","3700","U"
1998-10-29,"Atlantic Salmon","D3048","627",NA,"U"
1999-09-24,"Atlantic Salmon","03051","515","1600","U"
1999-09-27,"Atlantic Salmon","D3053","530","1500","U"
1999-09-27,"Atlantic Salmon","D3054","585","2400","U"
1999-09-27,"Atlantic Salmon","D3055","595","2300","U"
1999-09-27,"Atlantic Salmon","D3056","615","3100","U"
1999-09-27,"Atlantic Salmon","D3057","550","2000","U"
1999-09-29,"Atlantic Salmon","D3058","658","3000","U"
1999-09-29,"Atlantic Salmon","D3059","555","2200","U"
1999-09-29,"Atlantic Salmon","","227",NA,"U"
1999-09-29,"Atlantic Salmon","D3060","552","1700","U"
1999-09-29,"Atlantic Salmon","D3061","561","1850","U"
1999-09-29,"Atlantic Salmon","D3062","514","1500","U"
1999-09-29,"Atlantic Salmon","D3063","480","1150","U"
1999-09-29,"Atlantic Salmon","D3064","490","1600","U"
1999-09-29,"Atlantic Salmon","D3065","628","2850","U"
1999-10-01,"Atlantic Salmon","D3079","572","2250","U"
1999-10-01,"Atlantic Salmon","D3080","625","3000","U"
1999-10-01,"Atlantic Salmon","D3081","588","2300","U"
1999-10-01,"Atlantic Salmon","D3082","514","1450","U"
1999-10-01,"Atlantic Salmon","D3083","425","1000","U"
1999-10-01,"Atlantic Salmon","D3084","650","2650","U"
1999-10-01,"Atlantic Salmon","D3085","523","1400","U"
1999-10-06,"Atlantic Salmon","D3086","525","1300","U"
1999-10-06,"Atlantic Salmon","D3087","562","1800","U"
1999-10-13,"Atlantic Salmon","D3088","521","2100","U"
1999-10-13,"Atlantic Salmon","D3089","572","2500","U"
